Date,Category,Subcategory,Location,Value
04/04/2016,Flooring,Stone & Tile Restoration,Location 10, 172.53 
11/06/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 415.41 
16/03/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 74.44 
01/05/2016,Carpenter,Furniture Repair/replacement,Location 7, 14.33 
16/04/2016,Carpenter,Furniture Installation and assembly,Location 7, 269.61 
05/06/2016,Caterer/Cook,Catering,Location 6, 476.57 
12/05/2016,Carpenter,Furniture Installation and assembly,Location 2, 931.34 
31/05/2016,Plumber,Bathroom Fittings,Location 4, 528.98 
28/01/2016,Carpenter,Bolt And Latch,Location 4, 551.63 
23/03/2016,Electronics,Mobile,Location 10, 572.30 
18/02/2016,Plumber,Bathroom Fittings,Location 5, 783.41 
04/02/2016,Electrician,Other,Location 2, 39.28 
27/02/2016,Carpenter,Furniture Repair/replacement,Location 9, 683.79 
13/06/2016,Appliances,Water Purifier,Location 8, 519.23 
31/01/2016,Plumber,Pipelines And Pumps,Location 4, 10.12 
01/07/2016,Electronics,TV,Location 3, 600.87 
23/02/2016,Carpenter,General Carpentry Work,Location 6, 86.49 
03/03/2016,Security Systems,Access Control,Location 1, 903.93 
24/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 201.51 
15/04/2016,Plumber,Bathroom Fittings,Location 1, 509.73 
20/06/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 65.28 
09/03/2016,Plumber,Bathroom Fittings,Location 2, 435.97 
28/06/2016,Painter,Texture Painting,Location 5, 475.75 
07/06/2016,Plumber,Bathroom Fittings,Location 1, 762.64 
18/06/2016,Painter,Texture Painting,Location 7, 872.73 
02/04/2016,Electronics,TV,Location 3, 48.29 
19/02/2016,Electronics,Computer,Location 8, 546.56 
24/03/2016,Electrician,Other Lights,Location 10, 669.65 
25/04/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 9.54 
23/06/2016,Electronics,Mobile,Location 1, 551.04 
14/06/2016,Electrician,Other Lights,Location 6, 734.21 
01/07/2016,Carpenter,Bolt And Latch,Location 2, 27.80 
25/02/2016,Electrician,"Switches, Meters and Fuses",Location 2, 448.31 
05/03/2016,Security Systems,Door Lock Systems,Location 4, 797.91 
31/01/2016,Appliances,Refrigerator Repair,Location 8, 150.70 
02/02/2016,Appliances,Microwave Oven Repair,Location 7, 481.22 
12/06/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 287.82 
11/03/2016,Electrician,Other Lights,Location 10, 69.49 
25/06/2016,Electrician,Fans,Location 6, 661.89 
05/02/2016,Plumber,Pipelines And Pumps,Location 2, 87.22 
09/04/2016,Plumber,Toilet And Sanitary Work,Location 5, 519.58 
18/04/2016,Carpenter,General Carpentry Work,Location 5, 373.84 
01/03/2016,Plumber,Pipelines And Pumps,Location 6, 200.54 
17/06/2016,Electronics,TV,Location 5, 611.24 
16/05/2016,Electronics,TV,Location 5, 182.08 
31/03/2016,Carpenter,Furniture Repair/replacement,Location 10, 164.60 
19/05/2016,Plumber,Choke Up,Location 7, 926.00 
16/02/2016,Electronics,Computer,Location 6, 846.82 
15/03/2016,Plumber,Pipelines And Pumps,Location 6, 322.64 
31/03/2016,Lawn and Garden,Landscaping,Location 1, 130.70 
05/02/2016,Plumber,Choke Up,Location 9, 210.27 
15/04/2016,Plumber,Choke Up,Location 8, 851.90 
25/01/2016,Plumber,Choke Up,Location 10, 354.07 
26/05/2016,Plumber,Choke Up,Location 7, 61.33 
07/03/2016,Testing,Water Test,Location 9, 238.79 
09/06/2016,Plumber,Bathroom Fittings,Location 5, 844.19 
28/03/2016,Electronics,Computer,Location 4, 821.30 
05/05/2016,Appliances,Water Purifier,Location 5, 809.67 
02/02/2016,Pest Control,Ant Control,Location 4, 569.92 
29/04/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 433.57 
19/03/2016,Plumber,Bathroom Fittings,Location 7, 328.48 
13/06/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 5, 894.64 
21/02/2016,Carpenter,Furniture Repair/replacement,Location 3, 526.82 
15/06/2016,Appliances,Refrigerator Repair,Location 2, 374.83 
17/05/2016,Appliances,Microwave Oven Repair,Location 4, 159.26 
01/05/2016,Plumber,Choke Up,Location 2, 418.87 
04/07/2016,Carpenter,Bolt And Latch,Location 1, 710.34 
06/03/2016,Security Systems,CCTV,Location 3, 937.65 
20/03/2016,Painter,Regular Painting,Location 10, 657.24 
31/01/2016,Plumber,Choke Up,Location 3, 17.76 
03/05/2016,Pest Control,Ant Control,Location 5, 34.36 
08/04/2016,Plumber,Toilet And Sanitary Work,Location 6, 955.66 
18/05/2016,Electronics,Mobile,Location 1, 698.57 
27/02/2016,Carpenter,Furniture Installation and assembly,Location 2, 828.46 
14/02/2016,Painter,Regular Painting,Location 9, 935.43 
28/02/2016,Carpenter,Bolt And Latch,Location 6, 570.32 
12/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 10, 732.08 
04/07/2016,Pest Control,Mosquito Control,Location 6, 364.88 
04/04/2016,Plumber,Choke Up,Location 6, 881.23 
